ts,customer,activity,feature_json,revenue_impact,link
2023-06-01 14:45:00,william.martin@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/new-product-launch
2023-06-01 14:50:00,alex.wilson@example.com,click,"{""page"": ""products"", ""source"": ""referral""}",,https://www.example.com/new-product-launch
2023-06-01 14:55:00,michael.brown@example.com,sale,"{""page"": ""pricing"", ""source"": ""paid_ad""}",49.99,
2023-06-01 15:00:00,laura.jones@example.com,lead,"{""form"": ""newsletter_signup""}",,
2023-06-01 15:05:00,emily.jackson@example.com,click,"{""preferred_time"": ""evening""}",,https://www.example.com/limited-time-deal
2023-06-01 15:10:00,michael.brown@example.com,click,"{""form"": ""website_chat""}",,https://www.example.com/special-offer
2023-06-01 15:15:00,emma.smith@example.com,click,"{""page"": ""contact_us"", ""source"": ""referral""}",,https://www.example.com/special-offer
2023-06-01 15:20:00,olivia.white@example.com,click,"{""product"": ""gift"", ""price"": 8.99}",8.99,https://www.example.com/exclusive-discount
2023-06-01 15:25:00,olivia.white@example.com,consultation,"{""preferred_time"": ""morning""}",,
2023-06-01 15:30:00,emma.smith@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/new-product-launch
2023-06-01 15:35:00,olivia.white@example.com,sale,"{""page"": ""testimonials"", ""source"": ""organic""}",49.99,
2023-06-01 15:40:00,emily.jackson@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/summer-sale
2023-06-01 15:45:00,emily.jackson@example.com,consultation,"{""page"": ""faq"", ""source"": ""referral""}",,
2023-06-01 15:50:00,sarah.davis@example.com,click,"{""page"": ""about_us"", ""source"": ""organic""}",,https://www.example.com/summer-sale
2023-06-01 15:55:00,john.doe@example.com,click,"{""page"": ""homepage"", ""source"": ""organic""}",,https://www.example.com/summer-sale
2023-06-01 16:00:00,michael.brown@example.com,sale,"{""page"": ""faq"", ""source"": ""referral""}",15.99,
2023-06-01 16:05:00,alex.wilson@example.com,click,"{""form"": ""website_chat""}",,https://www.example.com/special-offer
2023-06-01 16:10:00,emily.jackson@example.com,lead,"{""form"": ""newsletter_signup""}",,
2023-06-01 16:15:00,emily.jackson@example.com,sale,"{""page"": ""products"", ""source"": ""referral""}",15.99,
2023-06-01 16:20:00,olivia.white@example.com,sale,"{""preferred_time"": ""morning""}",15.99,
2023-06-01 16:25:00,daniel.thomas@example.com,click,"{""preferred_time"": ""evening""}",,https://www.example.com/limited-time-deal
2023-06-01 16:30:00,michael.brown@example.com,click,"{""preferred_time"": ""evening""}",,https://www.example.com/new-product-launch
2023-06-01 16:35:00,john.doe@example.com,sale,"{""form"": ""newsletter_signup""}",99.99,
2023-06-01 16:40:00,alex.wilson@example.com,consultation,"{""product"": ""ebook"", ""price"": 19.99}",19.99,
2023-06-01 16:45:00,olivia.white@example.com,lead,"{""form"": ""website_chat""}",,
2023-06-01 16:50:00,john.doe@example.com,click,"{""preferred_time"": ""morning""}",,https://www.example.com/special-offer
2023-06-01 16:55:00,alex.wilson@example.com,sale,"{""preferred_time"": ""morning""}",9.99,
2023-06-01 17:00:00,emma.smith@example.com,lead,"{""page"": ""testimonials"", ""source"": ""organic""}",,
2023-06-01 17:05:00,michael.brown@example.com,lead,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 17:10:00,olivia.white@example.com,consultation,"{""page"": ""faq"", ""source"": ""referral""}",,
2023-06-01 17:15:00,michael.brown@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/new-product-launch
2023-06-01 17:20:00,emily.jackson@example.com,lead,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 17:25:00,olivia.white@example.com,lead,"{""form"": ""newsletter_signup""}",,
2023-06-01 17:30:00,john.doe@example.com,sale,"{""preferred_time"": ""afternoon""}",29.99,
2023-06-01 17:35:00,michael.brown@example.com,click,"{""form"": ""website_chat""}",,https://www.example.com/exclusive-discount
2023-06-01 17:40:00,olivia.white@example.com,consultation,"{""page"": ""products"", ""source"": ""referral""}",,
2023-06-01 17:45:00,olivia.white@example.com,sale,"{""page"": ""pricing"", ""source"": ""paid_ad""}",15.99,
2023-06-01 17:50:00,john.doe@example.com,click,"{""preferred_time"": ""evening""}",,https://www.example.com/summer-sale
2023-06-01 17:55:00,emma.smith@example.com,click,"{""preferred_time"": ""evening""}",,https://www.example.com/summer-sale
2023-06-01 18:00:00,william.martin@example.com,consultation,"{""form"": ""newsletter_signup""}",,
2023-06-01 18:05:00,emma.smith@example.com,sale,"{""page"": ""contact_us"", ""source"": ""referral""}",15.99,
2023-06-01 18:10:00,alex.wilson@example.com,click,"{""preferred_time"": ""morning""}",,https://www.example.com/summer-sale
2023-06-01 18:15:00,michael.brown@example.com,sale,"{""preferred_time"": ""morning""}",99.99,
2023-06-01 18:20:00,michael.brown@example.com,sale,"{""product"": ""ebook"", ""price"": 9.99}",15.99,
2023-06-01 18:25:00,olivia.white@example.com,lead,"{""product"": ""gift"", ""price"": 8.99}",8.99,
2023-06-01 18:30:00,olivia.white@example.com,click,"{""form"": ""website_chat""}",,https://www.example.com/exclusive-discount
2023-06-01 18:35:00,john.doe@example.com,click,"{""product"": ""subscription"", ""price"": 99.99}",99.99,https://www.example.com/special-offer
2023-06-01 18:40:00,daniel.thomas@example.com,lead,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,
2023-06-01 18:45:00,olivia.white@example.com,sale,"{""page"": ""homepage"", ""source"": ""organic""}",49.99,
2023-06-01 18:50:00,william.martin@example.com,lead,"{""page"": ""products"", ""source"": ""referral""}",,
2023-06-01 18:55:00,emma.smith@example.com,consultation,"{""product"": ""ebook"", ""price"": 19.99}",19.99,
2023-06-01 19:00:00,michael.brown@example.com,lead,"{""form"": ""newsletter_signup""}",,
2023-06-01 19:05:00,alex.wilson@example.com,lead,"{""page"": ""products"", ""source"": ""referral""}",,
2023-06-01 19:10:00,olivia.white@example.com,click,"{""preferred_time"": ""morning""}",,https://www.example.com/new-product-launch
2023-06-01 19:15:00,olivia.white@example.com,lead,"{""form"": ""newsletter_signup""}",,
2023-06-01 19:20:00,emma.smith@example.com,lead,"{""preferred_time"": ""evening""}",,
2023-06-01 19:25:00,emma.smith@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/limited-time-deal
2023-06-01 19:30:00,william.martin@example.com,lead,"{""page"": ""contact_us"", ""source"": ""referral""}",,
2023-06-01 19:35:00,sarah.davis@example.com,consultation,"{""preferred_time"": ""afternoon""}",,
2023-06-01 19:40:00,emily.jackson@example.com,consultation,"{""preferred_time"": ""morning""}",,
2023-06-01 19:45:00,olivia.white@example.com,lead,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,
2023-06-01 19:50:00,sarah.davis@example.com,sale,"{""page"": ""testimonials"", ""source"": ""organic""}",29.99,
2023-06-16 13:42:18,sarah.davis@example.com,sale,,9.99,
2023-06-24 13:35:11,michael.brown@example.com,lead,,,
2023-06-13 14:29:39,laura.jones@example.com,lead,,,
2023-06-06 03:33:45,william.martin@example.com,consultation,,,
2023-06-07 11:51:12,michael.brown@example.com,sale,,15.99,
2023-06-03 13:12:04,emily.jackson@example.com,sale,,49.99,
2023-06-08 04:02:36,john.doe@example.com,sale,,29.99,
2023-06-14 05:11:09,emma.smith@example.com,lead,,,
2023-07-04 08:13:27,emily.jackson@example.com,lead,,,
2023-07-04 13:56:07,daniel.thomas@example.com,click,,,https://www.example.com/special-offer
2023-06-17 21:56:47,sarah.davis@example.com,consultation,,,
2023-06-22 00:24:47,emma.smith@example.com,consultation,,,
2023-06-23 17:29:39,alex.wilson@example.com,consultation,,,
2023-06-29 14:48:41,daniel.thomas@example.com,consultation,,,
2023-06-08 01:49:22,olivia.white@example.com,sale,,15.99,
2023-07-05 10:29:04,john.doe@example.com,lead,,,
2023-07-05 11:16:18,laura.jones@example.com,click,,,https://www.example.com/summer-sale
2023-07-02 05:58:34,daniel.thomas@example.com,lead,,,
2023-06-12 15:13:01,emily.jackson@example.com,consultation,,,
2023-06-05 11:43:29,michael.brown@example.com,consultation,,,
2023-06-02 16:33:48,emma.smith@example.com,sale,,29.99,
2023-06-13 00:40:29,alex.wilson@example.com,lead,,,
2023-06-28 03:22:07,laura.jones@example.com,consultation,,,
2023-06-16 06:11:53,sarah.davis@example.com,consultation,,,
2023-06-20 13:01:45,laura.jones@example.com,click,,,https://www.example.com/special-offer
2023-06-05 02:02:42,emma.smith@example.com,sale,,99.99,
2023-06-25 00:25:36,laura.jones@example.com,lead,,,
2023-06-08 22:03:25,sarah.davis@example.com,sale,,9.99,
2023-06-21 19:25:17,emily.jackson@example.com,sale,,99.99,
2023-06-27 06:35:49,emma.smith@example.com,sale,,9.99,
2023-06-10 19:05:59,william.martin@example.com,consultation,,,
2023-06-26 20:46:07,alex.wilson@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-11 06:21:51,alex.wilson@example.com,lead,,,
2023-06-03 14:59:13,emma.smith@example.com,sale,,9.99,
2023-06-15 10:56:19,alex.wilson@example.com,lead,,,
2023-06-21 15:37:46,michael.brown@example.com,sale,,15.99,
2023-06-26 13:22:45,john.doe@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-25 01:45:12,emily.jackson@example.com,consultation,,,
2023-06-01 04:12:07,alex.wilson@example.com,sale,,49.99,
2023-06-26 11:35:40,daniel.thomas@example.com,consultation,,,
2023-07-01 04:31:37,olivia.white@example.com,click,,,https://www.example.com/new-product-launch
2023-07-01 02:32:57,daniel.thomas@example.com,consultation,,,
2023-06-18 04:30:51,alex.wilson@example.com,consultation,,,
2023-07-03 21:42:45,michael.brown@example.com,consultation,,,
2023-06-10 11:21:45,william.martin@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-02 14:50:33,laura.jones@example.com,sale,,29.99,
2023-06-06 15:43:47,alex.wilson@example.com,sale,,49.99,
2023-06-24 05:15:54,emily.jackson@example.com,sale,,99.99,
2023-06-17 00:40:02,william.martin@example.com,sale,,29.99,
2023-07-02 15:22:50,michael.brown@example.com,consultation,,,
2023-06-26 10:03:34,alex.wilson@example.com,consultation,,,
2023-06-17 19:21:18,john.doe@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-24 08:36:54,michael.brown@example.com,click,,,https://www.example.com/new-product-launch
2023-07-01 08:33:08,olivia.white@example.com,sale,,29.99,
2023-06-04 08:12:03,sarah.davis@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-07 15:43:19,william.martin@example.com,click,,,https://www.example.com/special-offer
2023-06-08 15:11:27,john.doe@example.com,consultation,,,
2023-07-03 15:11:06,olivia.white@example.com,lead,,,
2023-06-10 03:38:20,sarah.davis@example.com,lead,,,
2023-06-16 14:16:35,emily.jackson@example.com,consultation,,,
2023-07-01 00:19:18,alex.wilson@example.com,sale,,49.99,
2023-06-20 05:26:54,laura.jones@example.com,sale,,99.99,
2023-06-05 11:32:34,john.doe@example.com,sale,,9.99,
2023-06-06 04:19:31,william.martin@example.com,sale,,15.99,
2023-06-19 09:10:49,john.doe@example.com,sale,,15.99,
2023-06-09 09:58:17,laura.jones@example.com,click,,,https://www.example.com/new-product-launch
2023-06-21 22:38:00,john.doe@example.com,sale,,99.99,
2023-06-02 11:56:43,alex.wilson@example.com,sale,,49.99,
2023-06-29 08:27:11,william.martin@example.com,consultation,,,
2023-06-22 13:34:47,laura.jones@example.com,lead,,,
2023-06-01 08:23:57,emma.smith@example.com,lead,,,
2023-06-05 21:47:36,emma.smith@example.com,consultation,,,
2023-06-24 03:28:06,michael.brown@example.com,lead,,,
2023-06-16 21:50:19,olivia.white@example.com,lead,,,
2023-06-12 20:45:00,daniel.thomas@example.com,lead,,,
2023-06-04 10:04:00,william.martin@example.com,click,,,https://www.example.com/special-offer
2023-06-09 09:40:53,sarah.davis@example.com,consultation,,,
2023-07-01 01:29:11,emma.smith@example.com,sale,,29.99,
2023-06-23 02:29:34,laura.jones@example.com,consultation,,,
2023-06-04 14:19:57,emily.jackson@example.com,click,,,https://www.example.com/special-offer
2023-06-15 22:49:00,michael.brown@example.com,consultation,,,
2023-06-12 21:42:06,william.martin@example.com,sale,,99.99,
2023-06-30 20:00:21,john.doe@example.com,sale,,15.99,
2023-06-19 11:50:23,william.martin@example.com,consultation,,,
2023-06-07 11:41:14,olivia.white@example.com,click,,,https://www.example.com/new-product-launch
2023-06-14 21:47:39,william.martin@example.com,consultation,,,
2023-06-10 16:34:48,john.doe@example.com,lead,,,
2023-06-02 14:59:39,emily.jackson@example.com,consultation,,,
2023-06-08 00:43:47,john.doe@example.com,sale,,99.99,
2023-06-26 09:15:33,emily.jackson@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-27 11:43:48,laura.jones@example.com,lead,,,
2023-06-08 10:45:23,michael.brown@example.com,lead,,,
2023-06-15 03:03:15,john.doe@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-30 23:07:45,michael.brown@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-30 23:22:03,daniel.thomas@example.com,click,,,https://www.example.com/new-product-launch
2023-06-04 05:36:55,michael.brown@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-28 19:00:16,laura.jones@example.com,lead,,,
2023-06-08 09:43:30,sarah.davis@example.com,lead,,,
2023-06-26 23:41:43,alex.wilson@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-07 13:37:14,olivia.white@example.com,consultation,,,
2023-06-01 13:17:22,emma.smith@example.com,sale,,29.99,
2023-06-07 03:06:00,olivia.white@example.com,consultation,,,
2023-06-24 22:56:27,john.doe@example.com,lead,,,
2023-06-17 21:08:47,daniel.thomas@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-01 14:49:02,daniel.thomas@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-24 00:44:50,william.martin@example.com,lead,,,
2023-06-22 22:45:13,john.doe@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-20 07:55:58,emma.smith@example.com,consultation,,,
2023-06-16 11:39:05,emma.smith@example.com,click,,,https://www.example.com/new-product-launch
2023-06-21 11:13:14,michael.brown@example.com,consultation,,,
2023-06-26 03:20:34,emma.smith@example.com,consultation,,,
2023-06-16 06:43:13,michael.brown@example.com,sale,,49.99,
2023-06-14 22:03:34,emma.smith@example.com,sale,,49.99,
2023-06-23 20:07:57,olivia.white@example.com,consultation,,,
2023-06-23 14:59:26,john.doe@example.com,click,,,https://www.example.com/special-offer
2023-06-13 02:05:11,john.doe@example.com,lead,,,
2023-06-21 05:04:32,alex.wilson@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-09 09:42:04,laura.jones@example.com,sale,,15.99,
2023-06-18 11:34:05,michael.brown@example.com,click,,,https://www.example.com/exclusive-discount
2023-07-02 06:49:03,michael.brown@example.com,consultation,,,
2023-07-05 09:24:50,sarah.davis@example.com,consultation,,,
2023-06-21 04:48:38,olivia.white@example.com,consultation,,,
2023-06-07 18:39:21,emma.smith@example.com,click,,,https://www.example.com/special-offer
2023-06-10 18:48:48,emma.smith@example.com,lead,,,
2023-06-19 04:00:58,william.martin@example.com,lead,,,
2023-06-30 02:26:30,john.doe@example.com,sale,,15.99,
2023-07-05 22:41:55,emma.smith@example.com,lead,,,
2023-07-03 11:56:33,olivia.white@example.com,click,,,https://www.example.com/summer-sale
2023-06-05 09:34:18,michael.brown@example.com,lead,,,
2023-06-25 01:47:39,william.martin@example.com,consultation,,,
2023-06-13 15:57:22,laura.jones@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-11 11:53:01,daniel.thomas@example.com,sale,,29.99,
2023-07-03 23:01:59,sarah.davis@example.com,lead,,,
2023-06-15 20:47:38,daniel.thomas@example.com,lead,,,
2023-06-20 09:49:16,william.martin@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-14 17:25:57,emma.smith@example.com,sale,,99.99,
2023-06-13 22:14:47,emily.jackson@example.com,sale,,99.99,
2023-06-11 14:37:51,olivia.white@example.com,lead,,,
2023-06-15 15:34:49,john.doe@example.com,click,,,https://www.example.com/summer-sale
2023-06-30 16:46:28,alex.wilson@example.com,consultation,,,
2023-06-30 14:11:02,john.doe@example.com,lead,,,
2023-06-30 21:36:44,michael.brown@example.com,consultation,,,
2023-07-04 22:10:42,daniel.thomas@example.com,sale,,29.99,
2023-06-28 11:25:00,sarah.davis@example.com,click,,,https://www.example.com/special-offer
2023-06-11 16:50:40,laura.jones@example.com,consultation,,,
2023-06-17 16:33:48,olivia.white@example.com,lead,,,
2023-07-04 11:55:14,laura.jones@example.com,click,,,https://www.example.com/summer-sale
2023-06-10 00:18:35,john.doe@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-26 14:04:11,olivia.white@example.com,consultation,,,
2023-06-11 17:36:53,john.doe@example.com,consultation,,,
2023-06-25 10:09:14,olivia.white@example.com,click,,,https://www.example.com/new-product-launch
2023-06-19 13:40:19,laura.jones@example.com,click,,,https://www.example.com/summer-sale
2023-06-28 18:19:37,olivia.white@example.com,sale,,49.99,
2023-06-24 16:16:13,emily.jackson@example.com,sale,,99.99,
2023-06-26 09:39:03,john.doe@example.com,lead,,,
2023-06-27 22:08:16,daniel.thomas@example.com,consultation,,,
2023-06-14 06:49:30,sarah.davis@example.com,click,,,https://www.example.com/new-product-launch
2023-06-04 02:53:39,daniel.thomas@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-22 09:21:25,olivia.white@example.com,lead,,,
2023-06-26 22:26:34,sarah.davis@example.com,sale,,29.99,
2023-06-24 07:40:13,michael.brown@example.com,lead,,,
2023-07-02 14:50:30,emma.smith@example.com,click,,,https://www.example.com/summer-sale
2023-06-12 12:48:33,sarah.davis@example.com,sale,,15.99,
2023-06-09 09:21:57,olivia.white@example.com,sale,,99.99,
2023-06-26 21:30:41,daniel.thomas@example.com,lead,,,
2023-07-03 23:22:18,laura.jones@example.com,sale,,29.99,
2023-06-19 17:19:41,emily.jackson@example.com,consultation,,,
2023-06-09 16:49:50,alex.wilson@example.com,sale,,15.99,
2023-06-29 02:26:36,laura.jones@example.com,lead,,,
2023-07-02 19:41:43,john.doe@example.com,sale,,9.99,
2023-06-16 03:45:32,michael.brown@example.com,consultation,,,
2023-06-01 12:00:14,olivia.white@example.com,click,,,https://www.example.com/summer-sale
2023-06-04 15:28:08,michael.brown@example.com,sale,,15.99,
2023-06-04 13:09:36,emily.jackson@example.com,click,,,https://www.example.com/new-product-launch
2023-06-09 11:53:08,olivia.white@example.com,sale,,29.99,
2023-06-25 04:24:35,daniel.thomas@example.com,lead,,,
2023-06-02 09:21:04,daniel.thomas@example.com,consultation,,,
2023-06-16 10:49:17,sarah.davis@example.com,consultation,,,
2023-07-05 16:14:00,olivia.white@example.com,click,,,https://www.example.com/special-offer
2023-06-12 10:11:24,michael.brown@example.com,click,,,https://www.example.com/special-offer
2023-07-02 15:31:57,william.martin@example.com,consultation,,,
2023-06-30 09:16:11,laura.jones@example.com,lead,,,
2023-06-09 22:18:37,sarah.davis@example.com,consultation,,,
2023-06-11 03:03:07,laura.jones@example.com,lead,,,
2023-06-18 10:42:45,sarah.davis@example.com,sale,,9.99,
2023-06-08 21:27:02,john.doe@example.com,click,,,https://www.example.com/limited-time-deal
2023-06-06 06:10:18,john.doe@example.com,click,,,https://www.example.com/summer-sale
2023-06-28 01:56:22,laura.jones@example.com,lead,,,
2023-06-30 00:41:06,michael.brown@example.com,lead,,,
2023-06-30 10:24:27,laura.jones@example.com,click,,,https://www.example.com/new-product-launch
2023-07-04 18:24:15,laura.jones@example.com,consultation,,,
2023-06-09 04:08:26,michael.brown@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-06 18:29:29,sarah.davis@example.com,lead,,,
2023-06-19 12:02:22,olivia.white@example.com,lead,,,
2023-07-03 07:09:37,emma.smith@example.com,lead,,,
2023-06-11 17:58:39,laura.jones@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-06 20:38:53,daniel.thomas@example.com,sale,,15.99,
2023-06-25 04:33:54,olivia.white@example.com,lead,,,
2023-06-25 10:44:29,william.martin@example.com,click,,,https://www.example.com/exclusive-discount
2023-06-14 14:42:59,emma.smith@example.com,consultation,,,
2023-07-01 01:08:17,laura.jones@example.com,consultation,,,
2023-06-15 08:42:29,laura.jones@example.com,consultation,,,
2023-06-24 09:00:43,john.doe@example.com,sale,,49.99,
2023-06-07 22:57:04,emma.smith@example.com,sale,,49.99,
2023-07-01 07:17:49,michael.brown@example.com,consultation,,,
